epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,3609.16,1.03619,0.87056,0.88668,0.81696,0.85024,0.84426,0.66006,0.91242,0.88721,0.89617,0.0001981,0.0001981,0.0001981
83,3641.42,1.01121,0.84763,0.88457,0.8192,0.821,0.82608,0.66265,0.89684,0.88824,0.90522,0.0001882,0.0001882,0.0001882
84,3673.21,1.12903,0.90858,0.90725,0.80684,0.80652,0.82144,0.66383,0.91137,0.8932,0.91948,0.0001783,0.0001783,0.0001783
85,3704.98,1.00612,0.86157,0.88358,0.79151,0.81003,0.81236,0.66084,0.91063,0.8885,0.91494,0.0001684,0.0001684,0.0001684
86,3736.94,1.0866,0.91601,0.90147,0.7791,0.84497,0.8273,0.66679,0.89791,0.88457,0.9088,0.0001585,0.0001585,0.0001585
87,3769.09,1.04052,0.88834,0.8888,0.77363,0.84359,0.8217,0.66116,0.89604,0.8907,0.90216,0.0001486,0.0001486,0.0001486
88,3802.39,1.04399,0.80541,0.88668,0.78281,0.81539,0.81212,0.65685,0.90438,0.90741,0.89874,0.0001387,0.0001387,0.0001387
89,3834.14,1.05163,0.9081,0.91398,0.77093,0.839,0.80511,0.65354,0.90163,0.90084,0.89851,0.0001288,0.0001288,0.0001288
90,3870.55,1.02631,0.85701,0.88665,0.77777,0.83806,0.80536,0.64957,0.90031,0.88811,0.90317,0.0001189,0.0001189,0.0001189
91,3902.72,0.93618,0.82412,0.86307,0.77939,0.83141,0.79736,0.64348,0.89906,0.88196,0.90345,0.000109,0.000109,0.000109
92,3933.33,0.90825,0.80891,0.85912,0.77811,0.83159,0.80496,0.65735,0.90136,0.88276,0.90524,9.91e-05,9.91e-05,9.91e-05
93,3964.83,0.91927,0.80179,0.86114,0.78581,0.82637,0.81393,0.66703,0.90457,0.88068,0.90786,8.92e-05,8.92e-05,8.92e-05
94,3995.24,0.91849,0.79602,0.86708,0.78708,0.84375,0.82401,0.65999,0.90964,0.87595,0.90794,7.93e-05,7.93e-05,7.93e-05
95,4025.28,0.91417,0.82715,0.85393,0.79129,0.85711,0.83192,0.67035,0.91741,0.86669,0.90231,6.94e-05,6.94e-05,6.94e-05
96,4055.34,0.89962,0.79478,0.8599,0.79153,0.86527,0.8452,0.67329,0.92043,0.86379,0.89796,5.95e-05,5.95e-05,5.95e-05
97,4086.7,0.88811,0.77383,0.86681,0.79771,0.85936,0.84284,0.67204,0.91747,0.8642,0.89772,4.96e-05,4.96e-05,4.96e-05
98,4116.54,0.9231,0.78438,0.8617,0.79668,0.85854,0.84364,0.67616,0.90859,0.86275,0.89723,3.97e-05,3.97e-05,3.97e-05
99,4146.46,0.87965,0.7931,0.85157,0.79281,0.8632,0.84278,0.67944,0.90128,0.86178,0.89772,2.98e-05,2.98e-05,2.98e-05
100,4177.2,0.90017,0.76882,0.85408,0.79554,0.8648,0.84514,0.682,0.89211,0.86061,0.89619,1.99e-05,1.99e-05,1.99e-05
